title,link,content,date
Hardware Attendant Needed,https://opportunitiesforyoungkenyans.co.ke/2018/01/01/hardware-attendant-needed/,We are looking for a hardware attendant in Rongai. Preferably a lady. Email [email protected],2018-01-01
Opportunity Alert  For A Graduate of Architecture,https://opportunitiesforyoungkenyans.co.ke/2018/01/01/opportunity-alert/,employment opportunity for a graduate of Architecture. Proficiency in the use of Revit Software is a must. Please send your CV to [email protected],2018-01-01
Check Out 2018 Job Opportunities At Barclays Bank,https://opportunitiesforyoungkenyans.co.ke/2018/01/02/check-2018-job-opportunities-barclays-bank/,"Career opportunities at Barclays Africa As a major global financial services provider, Barclays offers diverse opportunities to our people. We hire people from a diversity of backgrounds from corporate bankers, actuaries, lawyers, marketing and communication specialists, engineers and leading technologists to researchers and innovators. Search and apply for jobs within Barclays Africa. You may also visit the careers page of Absa , our South African operation, or that of the National Bank of Commerce in Tanzania to search for vacancies. If you are interested in a position at Barclays Mozambique, send an email to [email protected]",2018-01-02
Apply For Barclays Bank Graduate Trainee Program,https://opportunitiesforyoungkenyans.co.ke/2018/01/02/apply-barclays-bank-graduate-trainee-program/,"Rising Eagles Graduate Programme At Barclays, ideas are our currency, but we also know that even the best of ideas dont matter until made. This is what the Rising Eagles Graduate Programme is about  working with your ideas and making them happen. The Programme has many great benefits that include: Exclusive access to Rise, our global innovation hub The opportunity to rub shoulders with an award winning Data & Product Alchemist as well as our Forbes ranked CEO The opportunity to be a part of initiatives affecting real change in Africa A strong support network of Alumni Access to vast networking opportunities in Africa The opportunity to accelerate your business knowledge through our internationally recognised curriculum So bring us your ideas and well give you access to our Rising Eagles Graduate Programme, a platform that can help bring them to life. Apply Here",2018-01-02
EAEP Publishers Hiring,https://opportunitiesforyoungkenyans.co.ke/2018/01/02/east-african-publishers-hiring/,,2018-01-02
"Apply For Barclays Bank Program Aimed At Recruiting, Training , Employing Youths",https://opportunitiesforyoungkenyans.co.ke/2018/01/02/apply-barclays-bank-program-aimed-recruiting-training-employing-youths/,"Barclays Bank in partnership with Care Kenya an NGO has come up with a project dubbed Ready to Work with Barclays Bank which is seeking to teach youths, empl oy them and also give them funds. All you need to do is send your details Just send your details as below in my inbox so as to be part of this big opportunity... Full Names Contacts ID no Age Email Address To Apply for the opportunity, Please send your full details as requested to Ekko Dyddas inbox here APPLY https://www.facebook.com/photo.php?fbid=10210936928647092&set=a.1257307840694.2032726.1469571400&type=3&theater Caution Avoid sending any kind of help such as money so that you can secure the job. Dont send any facilitation fee such as medical fee, training fee, registration fee, documents processing fee, commission fee or entrance fee. If they need your money, let them deduct from your first salary. Remember also not to hand in your valuables such as mobile phones, wallets, purse, personal bags etc. Keep them safe within yourself.",2018-01-02
"Hiring Sales Persons, No Experience Needed",https://opportunitiesforyoungkenyans.co.ke/2018/01/02/hiring-sales-persons-2/,"BUYAKI Holdings is also looking for two marketing persons, with or without experience. Minimum qualification  Diploma in Marketing. Please email [email protected] or forward to people who will be interested We are looking for an Airfreight Sales Executive-Degree in any business course and a diploma in Sales. Should have experience from a clearing and forwarding company preferably in Sales. At least 2 years experience. Cvs should be sent to [email protected] on or before 12th January 2018",2018-01-02
"Secretary, Clerks Needed",https://opportunitiesforyoungkenyans.co.ke/2018/01/02/secretary-clerks-needed/,"St. Bridgett school in Ukambani (Kikima, Mbooni) is looking for a secretary/clerk. Anyone know anyone from the area and looking for a job? Cv and application letter are delivered manually to the institution",2018-01-02
Job Opportunity: Swahili Teaching Fellowship (2 Year Appointment) At St Lawrence University In The US.,https://opportunitiesforyoungkenyans.co.ke/2018/01/02/job-opportunity-swahili-teaching-fellowship-2-year-appointment-st-lawrence-university-us/,"Below you will find the details for the position including any supplementary documentation and questions you should review before applying for the opening.  To apply for the position, please click the Apply for this Job link/button. If you would like to bookmark this position for later review, click on the Bookmark link.  If you would like to print a copy of this position for your records, click on the Print Preview link. Bookmark this Posting | Print Preview | Apply for this Job Please see Special Instructions for more details. Interested candidates should submit a cover letter stating suitability for this fellowship, a current CV including teaching experience and institutional affiliation and copies of relevant academic documents; degree certificates and transcripts. Applicants should also submit a statement addressing how the candidate will contribute to diversity and inclusion at St. Lawrence. These documents can be uploaded in the Applicant Documents section of your application. Additionally, two confidential references are required [the required information input in the reference contact information section of your application will be utilized to send a system-derived email requesting a recommendation letter from each reference]. Applications should be submitted by March 9, 2018. Questions about the position may be sent to Dr. Wairimu Ndirangu at [email protected] . All offers of employment are contingent upon the finalist successfully passing a background (including criminal records) check. Posting Details Position Information Position Title Swahili Teaching Fellowship [2-year appointment] FLSA Exempt Primary Responsibilities St. Lawrence University, Located at 23 Romoda Drive, Canton, NY, invites applications for a 2-year, Pre-Doctoral Swahili Teaching Fellowship beginning August 15, 2018. This fellowship is designed for a native or near-native speaker of Swahili with advanced graduate training in Swahili studies or a related field as well as teaching experience, preferably at the University level. Candidates in the advanced stages of their Ph.D. are especially encouraged to apply. This appointment will enable the teaching fellow to enhance his/her teaching and research portfolios. This fellowship includes:  Annual travel from home location to Canton, NY  A furnished apartment (utilities included)  An annual stipend of USD $14,500  Office space and a computer  An allowance for academic travel and conference/workshop participation related to the fellows teaching and research interests. The Swahili Teaching Fellow will teach four courses per year (two per semester) and have full access to a wide range of teaching and research materials at St. Lawrence. Minimum Qualifications  Masters degree in Swahili studies or a related field  Experience Teaching Kiswahili at the university level Preferred Qualifications  Experience teaching Swahili as a second language preferred  Experience teaching American students in Kenya is desirable Faculty Status Visiting Instructor Appointment Timing Full Year Posting Detail Information Posting Number FA00096 Desired Start Date 08/15/2018 Position End Date (if temporary) Open Date Close Date Open Until Filled Yes Special Instructions to Applicant Interested candidates should submit a cover letter stating suitability for this fellowship, a current CV including teaching experience and institutional affiliation and copies of relevant academic documents; degree certificates and transcripts. Applicants should also submit a statement addressing how the candidate will contribute to diversity and inclusion at St. Lawrence. These documents can be uploaded in the Applicant Documents section of your application. Additionally, two confidential references are required [the required information input in the reference contact information section of your application will be utilized to send a system-derived email requesting a recommendation letter from each reference]. Applications should be submitted by March 9, 2018. Questions about the position may be sent to Dr. Wairimu Ndirangu at [email protected] . All offers of employment are contingent upon the finalist successfully passing a background (including criminal records) check. Reference Requests Reference Request Details Accept References Yes Minimum Requests 2 Maximum Requests 3 Supplemental Questions Required fields are indicated with an asterisk (*). Applicant Documents Required Documents Cover Letter/Letter of Application Curriculum Vitae Unofficial Transcripts Diversity Statement Optional Documents Additional Document 1 Additional Document 2 APPLY HERE",2018-01-02
Internship Opportunity Alert For Tourism Students,https://opportunitiesforyoungkenyans.co.ke/2018/01/02/internship-opportunity-alert-tourism-students/,"Are you looking to advance your career in the tourism industry, here is your 2018 gateway avenue. The below opportune is suitable for degree and diploma students. All the best HAPPY NEW YEAR. (you can share or refer) I HAVE  EXTRA SPACE/S FOR INTERNSHIP OR ATTACHMENT.... DIPLOMA OR DEGREE IN TOURISM RELATED COURSES (MUST) (Very serious guys) ALSO THOSE PLANNING TO EXTEND THEIR INTERNSHIP CAN APPLY. NB; I PREFER THOSE WHO COME TO THE OFFICE DIRECTLY FOR BRIEF INTERVIEW EMAIL; [email protected] or [email protected] Rehema Place Block A, Suite 4, Ngong Rd Opp Prestige Plaza.",2018-01-02
